ec_id,Division,Polling Place Name,Premise_Address_Line_1,Premise_Address_Line_2,Premise_Locality,state,Premise_Postcode,Location_Within_Premise,Access_To_Location,Disabled_Access,VI_Vote_service,Premise Latitude,Premise Longitude,Premise Name
,Franklin,Cradoc,8243 Channel Hwy,,Cradoc,TAS,7109,,,Assistance,,-43.10599,147.03397,Cradoc Park
,Franklin,Cygnet,19 Louisa St,,Cygnet,TAS,7112,Multi court,,None,,-43.15823579,147.0713781,Cygnet Sports Centre
,Franklin,Dover,6940 Huon Hwy,,Dover,TAS,7117,Hall,,Assistance,,-43.31059,147.01313,Dover District School
,Franklin,Geeveston,63 Arve Rd,,Geeveston,TAS,7116,Hall/gymnasium,Access from School Rd,Assistance,,-43.162271,146.922048,Geeveston Primary School
,Franklin,Geilston Bay,271 East Derwent Hwy,,Geilston Bay,TAS,7015,Gymnasium,,Assistance,,-42.838335,147.349976,Lindisfarne North Primary School
,Franklin,Glen Huon,801 Glen Huon Rd,,Glen Huon,TAS,7109,Multipurpose hall,,Assistance,,-43.02819,146.9624,Glen Huon Primary School
,Franklin,Howden,392 Howden Rd,,Howden,TAS,7054,,,Assistance,,-43.02331,147.29143,Howden Fire Station
,Franklin,Howrah,Howrah Primary School,Howrah Rd,Howrah,TAS,7018,,,Assistance,,-42.88177,147.40387,Howrah Scout Hall
,Franklin,Tranmere,27 Tranmere Rd,,Howrah,TAS,7018,,,Assistance,,-42.891,147.40872,Tranmere Hall
,Franklin,Huonville,74 Wilmot Rd,,Huonville,TAS,7109,Multipurpose room,,Assistance,,-43.023734,147.046989,Huonville Primary School
,Franklin,Judbury,1273 Glen Huon Rd,,Judbury,TAS,7109,,,Assistance,,-42.9981,146.92811,Judbury Community Centre
,Franklin,Kettering,2963 Channel Hwy,,Kettering,TAS,7050,,,Assistance,,-43.12566,147.2467,Kettering Community Centre
,Franklin,Kingston,7 Goshawk Way,,Kingston,TAS,7050,Auditorium,,Assistance,,-42.9742845,147.307944,Kingborough Community Hub
,Franklin,Maranoa Heights,150 Redwood Rd,,Kingston,TAS,7050,Lower hall,,Assistance,,-42.99049,147.3089,Southern Christian College
,Franklin,Kingston Beach,20 Beach Rd,,Kingston Beach,TAS,7050,,,Assistance,,-42.98102,147.32245,Kingston Beach Community Hall
,Franklin,Lauderdale,Lauderdale Primary School,3 Acton Rd,Lauderdale,TAS,7021,Gymnasium,,None,,-42.90361386,147.4802177,Lauderdale Primary Sports Centre
,Franklin,Lindisfarne,17 Loatta Rd,,Lindisfarne,TAS,7015,General purpose room,,Assistance,,-42.85178,147.36341,Lindisfarne Primary School
,Franklin,Lindisfarne Village,54 Lincoln St,,Lindisfarne,TAS,7015,,,Assistance,,-42.846653,147.355727,St Aidans Church Hall
,Franklin,Margate,7 Van Morey Rd,,Margate,TAS,7054,Gymnasium,,Assistance,,-43.02826429,147.2609717,Margate Primary School
,Franklin,Middleton,McDowall St,,Middleton,TAS,7163,,,Assistance,,-43.2313,147.25573,South Channel Community Centre
,Franklin,Montagu Bay,10 Conara Rd,,Montagu Bay,TAS,7018,Hall,,Assistance,,-42.86439,147.35336,Montagu Bay Primary School
,Franklin,Mornington,400 Cambridge Rd,,Mornington,TAS,7018,Rosny Room,,Assistance,,-42.85588,147.40216,Citywide Baptist Church
,Franklin,Mountain River,263 Mountain River Rd,,Mountain River,TAS,7109,,,Assistance,,-42.96129,147.10932,Mountain River Memorial Hall
,Franklin,Ranelagh,40 Marguerite St,,Ranelagh,TAS,7109,,,Assistance,,-43.00901,147.03856,Ranelagh Soldiers Memorial Hall
