Polling Location Name,Venue Name,Type,Electorate 1,Electorate 2,Property Name,Flat Number,Street Number,Street Name,Street Type,Locality,Postcode,Melway/Vicroads Ref,Longitude,Latitude
Smeaton,Smeaton Community Centre,Voting Centre,Ripon District,,,,,Creswick-Newstead Road (near McLean,Street),Smeaton,3364,58 H7,143.948196966786,-37.3331763998667
Snake Valley,Snake Valley Hall,Voting Centre,Ripon District,,,,875,Linton-Carngham,Road,Snake Valley,3351,76 B3,143.584359000112,-37.6123649998722
Stuart Mill,Stuart Mill Community Hall,Voting Centre,Ripon District,,,,,Stuart Mill Low,Road,Stuart Mill,3477,42 F6,143.287302225106,-36.8044058831894
Tarnagulla,Victoria Theatre/Tarnagulla Hall,Voting Centre,Ripon District,,,,69-71,Commercial,Road,Tarnagulla,3551,592 J10,143.832652000117,-36.7704549998554
Wedderburn,Wedderburn Senior Citizens Centre,Voting Centre,Ripon District,,,,19,Kerr,Street,Wedderburn,3518,593 R4,143.614607149313,-36.4198945925406
Croydon West,Ainslie Parklands Primary School,Voting Centre,Croydon District,,,,24-36,Hinkley,Avenue,Croydon,3136,50 F3,145.263820608479,-37.7939933665425
Antonio Park,Antonio Park Primary School,Voting Centre,Ringwood District,,,,631-639,Whitehorse,Road,Mitcham,3132,49 B9,145.206077275144,-37.8159343248763
Bayswater,Bayswater Primary School,Voting Centre,Bayswater District,,,,corner,Mountain Highway and Birch,Street,Bayswater,3153,64 E4,145.259080425145,-37.8425341665435
Bayswater South,Bayswater South Primary School,Voting Centre,Bayswater District,,,,,Enfield,Drive,Bayswater,3153,64 E7,145.260840183479,-37.8554903498771
Bayswater West,Bayswater West Primary School,Voting Centre,Bayswater District,,,,corner,Phyllis Street and Warruga,Avenue,Bayswater,3153,64 C6,145.252649208478,-37.8494829332103
Boronia West,Boronia West Primary School,Voting Centre,Bayswater District,,,,,Tormore,Road,Boronia,3155,64 J8,145.278480000146,-37.8585599998772
Croydon,Croydon Community School,Voting Centre,Croydon District,,,,177-181,Mt Dandenong,Road,Croydon,3136,50 J4,145.279893125146,-37.798679899876
Croydon Hills,Croydon Hills Primary School,Voting Centre,Croydon District,,,,45-75,Campaspe,Drive,Croydon Hills,3136,36 G10,145.271612483479,-37.7764513665422
