ec_id,name,premises,address,lat,lon,divisions,state,wheelchair_access
,Free Reformed Church,,"84 Fifth Road, ARMADALE WA 6112",-32.14992000,116.00490000,Armadale,WA,Full
,Grovelands Primary School,,"14 Grovelands Drive, CAMILLO WA 6111",-32.11952000,115.99868000,Armadale,WA,None
,Kelmscott Primary School,,"River Road, KELMSCOTT WA 6111",-32.11959000,116.02049000,Armadale,WA,Full
,Kelmscott Senior High School,,"50 Third Avenue, KELMSCOTT WA 6111",-32.12035000,116.00989000,Armadale,WA,None
,Kingsley Primary School,,"11 Lathwell Street, ARMADALE WA 6112",-32.13432000,116.01545000,Armadale,WA,None
,Westfield Park Primary School,,"11 Hemingway Drive, CAMILLO WA 6111",-32.11032000,116.00533000,Armadale,WA,Full
,Balcatta District - Election Day and Early Polling Place,,"Osborne Park Agricultural Society Hall, 209 Main Street, OSBORNE PARK WA 6017",-31.897585,115.8280748,Balcatta,WA,None
,Balcatta Primary School,,"387 Main Street, BALCATTA WA 6021",-31.88110000,115.82798000,Balcatta,WA,None
,Balcatta Senior High School,,"56 Amelia Street, BALCATTA WA 6021",-31.87603000,115.81320000,Balcatta,WA,Full
,Osborne Park Community Centre,,"11 Royal Street, TUART HILL WA 6017",-31.89629000,115.82953000,Balcatta,WA,None
,Osborne Primary School,,"155 Albert Street, OSBORNE PARK WA 6017",-31.89978000,115.82533000,Balcatta,WA,Full
,St Denis School,,"2 Orchid Street, JOONDANA WA 6060",-31.90999000,115.84410000,Balcatta,WA,None
,Takari Primary School,,"5 Rickman Street, BALCATTA WA 6021",-31.86981000,115.82153000,Balcatta,WA,None
,Tuart Hill Primary School,,"134 Banksia Street, TUART HILL WA 6060",-31.90123800,115.84013100,Balcatta,WA,None
,Westminster Primary School,,"30 Marloo Road, WESTMINISTER WA 6061",-31.86963100,115.83815700,Balcatta,WA,Full
,Koorana Primary School,,"109 Coronata Drive, WARNBRO WA 6169",-32.34276200,115.76481400,Baldivis,WA,Full
,Makybe Rise Primary School,,"Makybe Drive, BALDIVIS WA 6171",-32.34505300,115.81763500,Baldivis,WA,None
,Rivergums Primary School,,"1 Avoca Chase, BALDIVIS WA 6171",-32.33600000,115.82991000,Baldivis,WA,None
,South Coast Baptist College,,"30 Gnangara Drive, WAIKIKI WA 6169",-32.31479000,115.75694000,Baldivis,WA,Full
,Tranby College,,"90 Arpenteur Drive, BALDIVIS WA 6171",-32.34053000,115.80156000,Baldivis,WA,None
,Tuart Rise Primary School,,"31 Kempeana Way, BALDIVIS WA 6171",-32.35404400,115.81414600,Baldivis,WA,Full
,Waikiki Primary School,,"12 Arnside Bend, WAIKIKI WA 6169",-32.31958600,115.76233300,Baldivis,WA,Full
,Warnbro Community High School,,"2 Swallowtail Parade, WARNBRO WA 6169",-32.34541600,115.75787500,Baldivis,WA,Full
,Warnbro Primary School,,"45 Axminster Street, WARNBRO WA 6169",-32.33507300,115.75462500,Baldivis,WA,None
,Anzac Terrace Primary School,,"176 Anzac Terrace, BASSENDEAN WA 6054",-31.89768000,115.93692000,Bassendean,WA,None
,Bassendean District - Election Day and Early Polling Place,,"Springs Shopping Centre, Shop 30, 130 Bridgeman Drive, BENNETT SPRINGS WA 6063",-31.858181,115.925087,Bassendean,WA,None
,Bassendean Primary School,,"70 West Road, BASSENDEAN WA 6054",-31.90770500,115.95384300,Bassendean,WA,None
,Beechboro Primary School,,"20 King Road, BEECHBORO WA 6063",-31.86847000,115.93609000,Bassendean,WA,Full
,Cyril Jackson Senior Campus,,"67 Reid Street, BASSENDEAN WA 6054",-31.91291000,115.94246500,Bassendean,WA,Full
,East Beechboro Primary School,,"Brockmill Avenue, BEECHBORO WA 6063",-31.87285000,115.95089800,Bassendean,WA,None
,Eden Hill Primary School,,"83 A Ivanhoe Street, EDEN HILL WA 6054",-31.89300400,115.94596000,Bassendean,WA,Full
,Hampton Senior High School,,"60 Morley Drive East, MORLEY WA 6062",-31.89010000,115.92653000,Bassendean,WA,Full
,Kiara College,,"368 Benara Road, KIARA WA 6054",-31.87597,115.93500,Bassendean,WA,None
,Lockridge Primary School,,"48 Rosher Road, LOCKRIDGE WA 6054",-31.88315000,115.95118000,Bassendean,WA,Full
,West Beechboro Primary School,,"30 Avignon Way , BEECHBORO WA 6063",-31.8696969989066,115.926787183512,Bassendean,WA,None
,Applecross Primary School,,"65 Kintail Road, APPLECROSS WA 6153",-32.01127000,115.83897000,Bateman,WA,Full
,Ardross Primary School,,"46 LINKS Road, ARDROSS WA 6153",-32.02740000,115.83382000,Bateman,WA,None
,Booragoon Primary School,,"10 Clements Road, BOORAGOON WA 6154",-32.03481000,115.82626000,Bateman,WA,None
,Brentwood Primary School,,"2 Dawson Road, BRENTWOOD WA 6153",-32.04172000,115.84764000,Bateman,WA,Full
,Corpus Christi College,,"50 Murdoch Drive, BATEMAN WA 6150",-32.05664000,115.84190000,Bateman,WA,Full
